id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
9895,84.2222,-32.8463,-14.4083,19.252123,0.314805,-1.981866,1.8845,0.6660,5.4508,1
4829,-21.6444,-75.5957,-111.8913,-5.154277,0.060608,-2.772309,2.2525,1.3330,1.6656,-1
10000,48.5910,-46.3041,-37.3832,14.912301,-12.728141,-6.212102,1.0988,1.3330,2.2959,1
2524,12.0457,35.9491,-15.9822,-11.743020,10.745737,9.306389,1.8442,1.5000,0.2725,1
7759,12.3767,116.8735,-50.4136,3.716529,1.984610,-4.928757,2.1120,0.6660,0.8850,-1
1731,19.0146,-223.5299,-1.4241,-0.339031,-9.145035,-2.589477,1.5342,1.0000,5.9225,-1
7417,2.4972,120.7397,68.4515,-2.480975,4.493511,-0.309867,3.4504,1.0000,4.2148,-1
9260,-56.2599,163.8523,-147.5561,-5.703961,8.797117,-11.394121,0.8349,1.0000,0.1687,-1
7903,-15.6083,-17.3388,133.9899,-2.332449,0.631154,18.524899,3.2533,1.0000,3.7575,-1
9357,199.5591,-30.5912,208.4443,15.315919,-4.775272,17.035950,3.3604,1.5000,1.9580,1
4692,172.5499,115.1746,-19.4318,18.315180,13.688340,-4.541302,2.8547,2.0000,0.7446,-1
5597,51.1481,53.2048,-84.0363,10.098951,12.374631,-8.891238,3.3660,1.5000,4.9705,-1
6066,34.0425,-118.0956,66.4070,3.752041,-15.211352,13.384647,0.7974,1.0000,3.1137,-1
7324,36.8363,24.7680,-34.7111,-6.422719,-8.096441,13.369829,2.5359,1.3330,5.3021,1
155812,67.3726,-44.7916,-98.7071,7.949622,-6.247795,-7.833117,3.4229,1.3330,6.1543,1
5806,72.2089,11.9071,-81.6091,-7.531893,2.467784,12.131259,1.7599,1.0000,3.6672,1
322,25.2111,-7.5443,-21.9019,2.481263,-2.723119,8.562103,3.3045,1.0000,2.7960,1
4769,-50.6842,-20.4546,31.9067,-9.028038,0.663080,-4.060300,1.9329,2.0000,2.2016,-1
6491,-146.2162,-22.0005,55.2281,-7.683551,3.136063,-2.710800,2.2567,2.0000,1.1568,-1
954,153.7212,43.7598,64.2907,15.827723,5.289920,2.739188,2.1371,0.6660,6.1538,-1
